,topic,category 0,category 1,category 2,category 3,category 4,category 5
0,Political Indicators,Political Indicators,,,,,
1,Voter Turnout Rates,Political Indicators,Voter Turnout Rates,,,,
2,Youth Voter Participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,,,
3,Youth Voter Turnout Rates,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,,
4,Youth Voter Registration Numbers,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Youth Voter Registration Numbers,
5,Online voter registration participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Youth Voter Registration Numbers,Online voter registration participation
6,Youth political advocacy groups,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Youth Voter Registration Numbers,Youth political advocacy groups
7,High school civic education programs,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Youth Voter Registration Numbers,High school civic education programs
8,Local government youth outreach initiatives,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Youth Voter Registration Numbers,Local government youth outreach initiatives
9,Accessibility of Polling Stations for Youth,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Accessibility of Polling Stations for Youth,
10,Number of youth-friendly polling locations,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Accessibility of Polling Stations for Youth,Number of youth-friendly polling locations
11,Availability of public transportation to polling sites for youth,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Accessibility of Polling Stations for Youth,Availability of public transportation to polling sites for youth
12,Extent of youth-targeted voting awareness campaigns,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Voter Turnout Rates,Accessibility of Polling Stations for Youth,Extent of youth-targeted voting awareness campaigns
13,Political Awareness Among Youth,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,,
14,Participation in Political Discussions,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Participation in Political Discussions,
15,Community Forum Attendance,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Participation in Political Discussions,Community Forum Attendance
16,Engagement in Political Online Groups,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Participation in Political Discussions,Engagement in Political Online Groups
17,Participation in Town Hall Meetings,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Participation in Political Discussions,Participation in Town Hall Meetings
18,Involvement in Political Debates,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Participation in Political Discussions,Involvement in Political Debates
19,Awareness of Political Platforms,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Awareness of Political Platforms,
20,Understanding of Party Manifestos,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Awareness of Political Platforms,Understanding of Party Manifestos
21,Recognition of Political Leadership,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Awareness of Political Platforms,Recognition of Political Leadership
22,Knowledge of Policy Proposals,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Political Awareness Among Youth,Awareness of Political Platforms,Knowledge of Policy Proposals
23,Youth Engagement in Political Campaigns,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,,
24,Participation in Political Rallies,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Participation in Political Rallies,
25,Number of Attendees at Rallies,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Participation in Political Rallies,Number of Attendees at Rallies
26,Frequency of Rallies Held,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Participation in Political Rallies,Frequency of Rallies Held
27,Diversity of Political Groups Represented,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Participation in Political Rallies,Diversity of Political Groups Represented
28,Level of Youth Participation,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Participation in Political Rallies,Level of Youth Participation
29,Involvement in Campaign Volunteer Programs,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Involvement in Campaign Volunteer Programs,
30,Volunteer Recruitment Numbers,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Involvement in Campaign Volunteer Programs,Volunteer Recruitment Numbers
31,Diversity of Volunteer Demographics,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Involvement in Campaign Volunteer Programs,Diversity of Volunteer Demographics
32,Volunteer Training Sessions,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Involvement in Campaign Volunteer Programs,Volunteer Training Sessions
33,Volunteer Retention Rates,Political Indicators,Voter Turnout Rates,Youth Voter Participation,Youth Engagement in Political Campaigns,Involvement in Campaign Volunteer Programs,Volunteer Retention Rates
34,Rural Voter Engagement,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,,,
35,Community Political Participation Events,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,,
36,Voter Registration Drives,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Voter Registration Drives,
37,Number of Registration Centers,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Voter Registration Drives,Number of Registration Centers
38,Volume of Voter Outreach Programs,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Voter Registration Drives,Volume of Voter Outreach Programs
39,Political Campaign Rallies,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Political Campaign Rallies,
40,Rally Attendance Numbers,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Political Campaign Rallies,Rally Attendance Numbers
41,Local Candidate Endorsements,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Political Campaign Rallies,Local Candidate Endorsements
42,Frequency of Campaign Rallies,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Political Campaign Rallies,Frequency of Campaign Rallies
43,Distribution of Campaign Materials,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Political Campaign Rallies,Distribution of Campaign Materials
44,Town Hall Meetings Participation,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Town Hall Meetings Participation,
45,Number of Attendees at Town Hall Meetings,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Town Hall Meetings Participation,Number of Attendees at Town Hall Meetings
46,Frequency of Town Hall Meetings Held,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Town Hall Meetings Participation,Frequency of Town Hall Meetings Held
47,Civic Education Sessions Frequency,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Civic Education Sessions Frequency,
48,Local Government Workshops Frequency,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Civic Education Sessions Frequency,Local Government Workshops Frequency
49,Community Civic Engagement Programs,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Civic Education Sessions Frequency,Community Civic Engagement Programs
50,School-Based Civic Curriculum Sessions,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Civic Education Sessions Frequency,School-Based Civic Curriculum Sessions
51,Frequency of Legal Rights Awareness Programs,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Community Political Participation Events,Civic Education Sessions Frequency,Frequency of Legal Rights Awareness Programs
52,Access to Polling Stations,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,,
53,Availability of Polling Station Locations,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Availability of Polling Station Locations,
54,Polling Station Density,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Availability of Polling Station Locations,Polling Station Density
55,Geographic Coverage of Polling Stations,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Availability of Polling Station Locations,Geographic Coverage of Polling Stations
56,Accessibility of Polling Station Facilities,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Availability of Polling Station Locations,Accessibility of Polling Station Facilities
57,Polling Station Operational Hours,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Operational Hours,
58,Polling Station Opening Times,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Operational Hours,Polling Station Opening Times
59,Polling Station Closing Times,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Operational Hours,Polling Station Closing Times
60,Allocation of Polling Station Operating Days,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Operational Hours,Allocation of Polling Station Operating Days
61,Voter Transportation Accessibility,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Voter Transportation Accessibility,
62,Availability of Public Transport Routes to Polling Stations,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Voter Transportation Accessibility,Availability of Public Transport Routes to Polling Stations
63,Frequency of Public Transport Services on Election Day,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Voter Transportation Accessibility,Frequency of Public Transport Services on Election Day
64,Polling Station Staffing Levels,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Staffing Levels,
65,Staff-to-Voter Ratio,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Staffing Levels,Staff-to-Voter Ratio
66,Staff Training Duration,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Access to Polling Stations,Polling Station Staffing Levels,Staff Training Duration
67,Political Trust Levels in Local Government,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Trust Levels in Local Government,,
68,Public Confidence in Local Elections,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Trust Levels in Local Government,Public Confidence in Local Elections,
69,Trust in Election Process,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Trust Levels in Local Government,Public Confidence in Local Elections,Trust in Election Process
70,Perception of Local Government Transparency,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Trust Levels in Local Government,Perception of Local Government Transparency,
71,Access to Public Information,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Trust Levels in Local Government,Perception of Local Government Transparency,Access to Public Information
72,Presence of Anti-Corruption Measures,Political Indicators,Voter Turnout Rates,Rural Voter Engagement,Political Trust Levels in Local Government,Perception of Local Government Transparency,Presence of Anti-Corruption Measures
73,Voter Registration Rates,Political Indicators,Voter Turnout Rates,Voter Registration Rates,,,
74,Urban Voter Registration Rates,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,,
75,Voter Turnout in Urban Areas,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Voter Turnout in Urban Areas,
76,Availability of Polling Stations,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Voter Turnout in Urban Areas,Availability of Polling Stations
77,Urban Political Campaign Engagement,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Voter Turnout in Urban Areas,Urban Political Campaign Engagement
78,Age Demographics of Urban Voters,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Age Demographics of Urban Voters,
79,Proportion of Young Voters in Urban West Java,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Age Demographics of Urban Voters,Proportion of Young Voters in Urban West Java
80,Percentage of Middle-aged Voters in Major Cities,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Age Demographics of Urban Voters,Percentage of Middle-aged Voters in Major Cities
81,Elderly Voter Representation in Metropolitan Areas,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Age Demographics of Urban Voters,Elderly Voter Representation in Metropolitan Areas
82,Age Group Distribution in Urban Voting Populations,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Age Demographics of Urban Voters,Age Group Distribution in Urban Voting Populations
83,Political Party Affiliation in Urban Regions,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Political Party Affiliation in Urban Regions,
84,Political Campaign Presence in Urban Areas,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Political Party Affiliation in Urban Regions,Political Campaign Presence in Urban Areas
85,Urban Political Rally Attendance Rates,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Political Party Affiliation in Urban Regions,Urban Political Rally Attendance Rates
86,Migration Impact on Urban Voting Populations,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Migration Impact on Urban Voting Populations,
87,Urban voter registration shifts,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Migration Impact on Urban Voting Populations,Urban voter registration shifts
88,Cultural diversity in urban voting,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Migration Impact on Urban Voting Populations,Cultural diversity in urban voting
89,Language barriers in political engagement,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Migration Impact on Urban Voting Populations,Language barriers in political engagement
90,Migrant community political representation,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Urban Voter Registration Rates,Migration Impact on Urban Voting Populations,Migrant community political representation
91,Online Voter Registration Adoption,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,,
92,Digital Infrastructure Accessibility,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,Digital Infrastructure Accessibility,
93,Internet Penetration Rates,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,Digital Infrastructure Accessibility,Internet Penetration Rates
94,Mobile Network Coverage,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,Digital Infrastructure Accessibility,Mobile Network Coverage
95,Digital Literacy Programs,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,Digital Infrastructure Accessibility,Digital Literacy Programs
96,User Engagement in Voter Education Platforms,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,User Engagement in Voter Education Platforms,
97,Participation in Voter Education Programs,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,User Engagement in Voter Education Platforms,Participation in Voter Education Programs
98,Frequency of Access to Voter Education Content,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Online Voter Registration Adoption,User Engagement in Voter Education Platforms,Frequency of Access to Voter Education Content
99,Registration Accuracy and Errors,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,,
100,Voter Identification Verification Rates,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Voter Identification Verification Rates,
101,Accuracy of Voter ID Card Issuance,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Voter Identification Verification Rates,Accuracy of Voter ID Card Issuance
102,Frequency of Voter Roll Updates,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Voter Identification Verification Rates,Frequency of Voter Roll Updates
103,Instances of Voter ID Fraud,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Voter Identification Verification Rates,Instances of Voter ID Fraud
104,Duplicate Registration Instances,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Duplicate Registration Instances,
105,Number of Duplicate Voter Entries,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Duplicate Registration Instances,Number of Duplicate Voter Entries
106,Cases of Multiple ID Issuance,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Duplicate Registration Instances,Cases of Multiple ID Issuance
107,Inaccurate Address Records,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Inaccurate Address Records,
108,Address Completeness in Voter Registry,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Inaccurate Address Records,Address Completeness in Voter Registry
109,Address Discrepancies in Election Materials Delivery,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Inaccurate Address Records,Address Discrepancies in Election Materials Delivery
110,Incidence of Mismatched Address Data in Official Records,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Inaccurate Address Records,Incidence of Mismatched Address Data in Official Records
111,Frequency of Address Updates in Voter Database,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Inaccurate Address Records,Frequency of Address Updates in Voter Database
112,Misclassification of Voter Eligibility,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Misclassification of Voter Eligibility,
113,Incorrect Age Categorization,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Misclassification of Voter Eligibility,Incorrect Age Categorization
114,Non-Citizen Voter Inclusion,Political Indicators,Voter Turnout Rates,Voter Registration Rates,Registration Accuracy and Errors,Misclassification of Voter Eligibility,Non-Citizen Voter Inclusion
115,Voter Education Initiatives,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,,,
116,Community Outreach Programs,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,,
117,Participation in Local Governance Meetings,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Participation in Local Governance Meetings,
118,Attendance Rates at Village Council Meetings,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Participation in Local Governance Meetings,Attendance Rates at Village Council Meetings
119,Frequency of Public Discussions on Local Policies,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Participation in Local Governance Meetings,Frequency of Public Discussions on Local Policies
120,Participation of Marginalized Communities,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Participation in Local Governance Meetings,Participation of Marginalized Communities
121,Number of Citizen Proposals Submitted,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Participation in Local Governance Meetings,Number of Citizen Proposals Submitted
122,Engagement with Rural Community Leaders,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Engagement with Rural Community Leaders,
123,Frequency of Leadership Collaboration Meetings,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Engagement with Rural Community Leaders,Frequency of Leadership Collaboration Meetings
124,Representation of Rural Concerns in Policy Discussions,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Engagement with Rural Community Leaders,Representation of Rural Concerns in Policy Discussions
125,Involvement in Policy Implementation Processes,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Engagement with Rural Community Leaders,Involvement in Policy Implementation Processes
126,Initiatives for Public Feedback Collection,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Initiatives for Public Feedback Collection,
127,Public Consultation Sessions,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Initiatives for Public Feedback Collection,Public Consultation Sessions
128,Feedback Channels in Urban Areas,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Initiatives for Public Feedback Collection,Feedback Channels in Urban Areas
129,Multi-stakeholder Policy Forums,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Community Outreach Programs,Initiatives for Public Feedback Collection,Multi-stakeholder Policy Forums
130,Civic Education Workshops,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Civic Education Workshops,,
131,Participant Enrollment,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Civic Education Workshops,Participant Enrollment,
132,Political Party Membership,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Civic Education Workshops,Participant Enrollment,Political Party Membership
133,Frequency of Workshops,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Civic Education Workshops,Frequency of Workshops,
134,Policy Development Workshops,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Civic Education Workshops,Frequency of Workshops,Policy Development Workshops
135,Citizen Engagement Workshops,Political Indicators,Voter Turnout Rates,Voter Education Initiatives,Civic Education Workshops,Frequency of Workshops,Citizen Engagement Workshops
136,Political Party Representation,Political Indicators,Political Party Representation,,,,
137,Legislative Seats Allocation,Political Indicators,Political Party Representation,Legislative Seats Allocation,,,
138,Number of Seats for Political Parties,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,,
139,Proportion of Seats Held by Major Political Parties,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Proportion of Seats Held by Major Political Parties,
140,Change in Party Representation within Provincial Committees,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Proportion of Seats Held by Major Political Parties,Change in Party Representation within Provincial Committees
141,Influence of Major Parties on Legislative Agendas,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Proportion of Seats Held by Major Political Parties,Influence of Major Parties on Legislative Agendas
142,Seats Occupied by Regional Political Movements,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Seats Occupied by Regional Political Movements,
143,Representation of Sundanese Cultural Parties,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Seats Occupied by Regional Political Movements,Representation of Sundanese Cultural Parties
144,Participation of Regional Advocacy Groups,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Seats Occupied by Regional Political Movements,Participation of Regional Advocacy Groups
145,Influence of Local Political Alliances,Political Indicators,Political Party Representation,Legislative Seats Allocation,Number of Seats for Political Parties,Seats Occupied by Regional Political Movements,Influence of Local Political Alliances
146,Representation of Demographic Groups,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,,
147,Representation of Ethnic Groups,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Ethnic Groups,
148,Political office representation of Sundanese,Political Indicators,Political Party Representation,Legislative Seats Allocation,Representation of Demographic Groups,Representation of Ethnic Groups,Political office representation of Sundanese
