,topic,category 0,category 1,category 2,category 3,category 4,category 5
0,Ecosystem Health Indicators,Ecosystem Health Indicators,,,,,
1,Biodiversity Levels,Ecosystem Health Indicators,Biodiversity Levels,,,,
2,Species Richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,,,
3,Habitat Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,,
4,Vegetation Complexity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Vegetation Complexity,
5,Plant Species Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Vegetation Complexity,Plant Species Diversity
6,Canopy Layer Structuring,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Vegetation Complexity,Canopy Layer Structuring
7,Vegetation Density,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Vegetation Complexity,Vegetation Density
8,Biomass Distribution,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Vegetation Complexity,Biomass Distribution
9,Aquatic Habitat Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Aquatic Habitat Variety,
10,Wetland Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Aquatic Habitat Variety,Wetland Diversity
11,Riparian Zone Coverage,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Aquatic Habitat Variety,Riparian Zone Coverage
12,Stream Morphology Variation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Aquatic Habitat Variety,Stream Morphology Variation
13,Microhabitat Availability,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Microhabitat Availability,
14,Undisturbed soil patches,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Microhabitat Availability,Undisturbed soil patches
15,Tree cavity availability,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Microhabitat Availability,Tree cavity availability
16,Leaf litter depth,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Microhabitat Availability,Leaf litter depth
17,Water micro-pool presence,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity,Microhabitat Availability,Water micro-pool presence
18,Invasive Species Presence,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,,
19,Species Density,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Species Density,
20,Population Abundance,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Species Density,Population Abundance
21,Habitat Distribution,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Species Density,Habitat Distribution
22,Population Age Structure,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Species Density,Population Age Structure
23,Biodiversity Disruption,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Biodiversity Disruption,
24,Habitat Fragmentation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Biodiversity Disruption,Habitat Fragmentation
25,Invasive Species Proliferation,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Biodiversity Disruption,Invasive Species Proliferation
26,Genetic Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Presence,Biodiversity Disruption,Genetic Diversity
27,Nutrient Availability,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,,
28,Soil Nutrient Content,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Soil Nutrient Content,
29,Soil Organic Matter,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Soil Nutrient Content,Soil Organic Matter
30,Soil pH Levels,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Soil Nutrient Content,Soil pH Levels
31,Water Nutrient Levels,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Water Nutrient Levels,
32,Phosphate Concentration,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Water Nutrient Levels,Phosphate Concentration
33,Nitrate Levels,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Water Nutrient Levels,Nitrate Levels
34,Algal Bloom Presence,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Nutrient Availability,Water Nutrient Levels,Algal Bloom Presence
