,topic,category 0,category 1,category 2,category 3
0,Ecosystem Health Indicators,Ecosystem Health Indicators,,,
1,Biodiversity Levels,Ecosystem Health Indicators,Biodiversity Levels,,
2,Species Richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,
3,Habitat Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Habitat Diversity
4,Keystone Species Presence,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Keystone Species Presence
5,Invasive Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Invasive Species Count
6,Pollinator Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Pollinator Variety
7,Migratory Species Use,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Migratory Species Use
8,Trophic Level Range,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Trophic Level Range
9,Freshwater Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Freshwater Species Count
10,Biodiversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Biodiversity
11,Species Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Species Diversity
12,Floral Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Floral Diversity
13,Faunal Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Faunal Diversity
14,Taxonomic Richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Taxonomic Richness
15,Ecological Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Ecological Variety
16,Biological Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Biological Variety
17,Species Count,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Species Count
18,Species Variety,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Species Variety
19,Community Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Community Diversity
20,Ecological Richness,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Ecological Richness
21,Biodiversity Index,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Biodiversity Index
22,Species Composition,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Species Composition
23,Richness of Species,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Richness of Species
24,Biological Diversity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Biological Diversity
25,Ecological Complexity,Ecosystem Health Indicators,Biodiversity Levels,Species Richness,Ecological Complexity
26,Genetic Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,
27,Allele Frequency Variance,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allele Frequency Variance
28,Genotype Distribution,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genotype Distribution
29,Haplotype Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Haplotype Diversity
30,Gene Pool Size,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Gene Pool Size
31,Genetic Mutation Rate,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Mutation Rate
32,Effective Population Size,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Effective Population Size
33,Genetic Variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Variation
34,Genetic Heterogeneity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Heterogeneity
35,Genetic Diversity Index,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Diversity Index
36,Allelic Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Allelic Diversity
37,Genetic Polymorphism,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Polymorphism
38,Genetic Variability,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Variability
39,Population Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Population Diversity
40,Genetic Resource Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Resource Diversity
41,Genetic Differentiation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Differentiation
42,Ecological Diversity,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Ecological Diversity
43,Genetic Makeup Variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Genetic Makeup Variation
44,Species Variation,Ecosystem Health Indicators,Biodiversity Levels,Genetic Diversity,Species Variation
