,topic,category 0,category 1,category 2,category 3,category 4,category 5
0,Fish Population Metrics,Fish Population Metrics,,,,,
1,Fish Abundance,Fish Population Metrics,Fish Abundance,,,,
2,Reproductive Output,Fish Population Metrics,Fish Abundance,Reproductive Output,,,
3,Egg Production Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,,
4,Spawning Biomass,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,
5,Adult Fish Density in Spawning Areas,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Adult Fish Density in Spawning Areas
6,Spawning Season Duration,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Spawning Season Duration
7,Juvenile Fish Survival Rates,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Juvenile Fish Survival Rates
8,Mature Fish Size,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Mature Fish Size
9,Reproductive Biomass,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Reproductive Biomass
10,Breeding Biomass,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Breeding Biomass
11,Spawning Population,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Spawning Population
12,Reproductive Stock,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Reproductive Stock
13,Fecundity Biomass,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Fecundity Biomass
14,Spawning Stock,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Spawning Stock
15,Breeding Population,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Breeding Population
16,Reproductive Capacity,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Reproductive Capacity
17,Spawn Production,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Spawn Production
18,Biomass for Reproduction,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Biomass for Reproduction
19,Fecund Biomass,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Fecund Biomass
20,Spawn Biomass,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Spawning Biomass,Spawn Biomass
21,Egg Viability Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,
22,Yolk Sac Condition,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Yolk Sac Condition
23,Ambient Water Temperature at Spawning,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Ambient Water Temperature at Spawning
24,Incubation Period Duration,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Incubation Period Duration
25,Egg Fertility Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Egg Fertility Rate
26,Egg Hatchability Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Egg Hatchability Rate
27,Egg Survival Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Egg Survival Rate
28,Egg Development Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Egg Development Rate
29,Egg Viability Index,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Egg Viability Index
30,Embryo Viability Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Embryo Viability Rate
31,Ovum Viability Rate,Fish Population Metrics,Fish Abundance,Reproductive Output,Egg Production Rate,Egg Viability Rate,Ovum Viability Rate
