,topic,category 0,category 1,category 2,category 3
0,Fish Population Metrics,Fish Population Metrics,,,
1,Fish Biomass,Fish Population Metrics,Fish Biomass,,
2,Trophic Level Biomass Distribution,Fish Population Metrics,Fish Biomass,Trophic Level Biomass Distribution,
3,Herbivorous Fish Biomass,Fish Population Metrics,Fish Biomass,Trophic Level Biomass Distribution,Herbivorous Fish Biomass
4,Carnivorous Fish Biomass,Fish Population Metrics,Fish Biomass,Trophic Level Biomass Distribution,Carnivorous Fish Biomass
5,Predator-Prey Biomass Ratio,Fish Population Metrics,Fish Biomass,Predator-Prey Biomass Ratio,
6,Predator Biomass near Offshore Installations,Fish Population Metrics,Fish Biomass,Predator-Prey Biomass Ratio,Predator Biomass near Offshore Installations
7,Prey Biomass near Offshore Installations,Fish Population Metrics,Fish Biomass,Predator-Prey Biomass Ratio,Prey Biomass near Offshore Installations
8,Benthic Fish Biomass,Fish Population Metrics,Fish Biomass,Benthic Fish Biomass,
9,Habitat Coverage for Benthic Species,Fish Population Metrics,Fish Biomass,Benthic Fish Biomass,Habitat Coverage for Benthic Species
10,Reproductive Rates of Benthic Fish,Fish Population Metrics,Fish Biomass,Benthic Fish Biomass,Reproductive Rates of Benthic Fish
11,Juvenile Benthic Fish Survival Rates,Fish Population Metrics,Fish Biomass,Benthic Fish Biomass,Juvenile Benthic Fish Survival Rates
12,Benthic Fish Food Availability,Fish Population Metrics,Fish Biomass,Benthic Fish Biomass,Benthic Fish Food Availability
13,Benthic Habitat Structural Complexity,Fish Population Metrics,Fish Biomass,Benthic Fish Biomass,Benthic Habitat Structural Complexity
14,Pelagic Fish Biomass,Fish Population Metrics,Fish Biomass,Pelagic Fish Biomass,
15,Nutrient Availability in Surface Waters,Fish Population Metrics,Fish Biomass,Pelagic Fish Biomass,Nutrient Availability in Surface Waters
16,Depth-Integrated Biomass Distribution,Fish Population Metrics,Fish Biomass,Pelagic Fish Biomass,Depth-Integrated Biomass Distribution
17,Habitat Range Overlapping with Offshore Structures,Fish Population Metrics,Fish Biomass,Pelagic Fish Biomass,Habitat Range Overlapping with Offshore Structures
18,Spawning Area Biomass Concentration,Fish Population Metrics,Fish Biomass,Pelagic Fish Biomass,Spawning Area Biomass Concentration
19,Seasonal Biomass Variation,Fish Population Metrics,Fish Biomass,Seasonal Biomass Variation,
20,Spawning Biomass Accumulation,Fish Population Metrics,Fish Biomass,Seasonal Biomass Variation,Spawning Biomass Accumulation
21,Juvenile Fish Biomass Growth,Fish Population Metrics,Fish Biomass,Seasonal Biomass Variation,Juvenile Fish Biomass Growth
22,Migratory Biomass Flux,Fish Population Metrics,Fish Biomass,Seasonal Biomass Variation,Migratory Biomass Flux
23,Biomass Density in Habitat Zones,Fish Population Metrics,Fish Biomass,Biomass Density in Habitat Zones,
24,Reef Fish Biomass Density,Fish Population Metrics,Fish Biomass,Biomass Density in Habitat Zones,Reef Fish Biomass Density
25,Seagrass Bed Fish Biomass Density,Fish Population Metrics,Fish Biomass,Biomass Density in Habitat Zones,Seagrass Bed Fish Biomass Density
26,Deep Sea Fish Biomass Density,Fish Population Metrics,Fish Biomass,Biomass Density in Habitat Zones,Deep Sea Fish Biomass Density
27,Fish Recruitment Rates,Fish Population Metrics,Fish Recruitment Rates,,
28,Larval Survival Rate,Fish Population Metrics,Fish Recruitment Rates,Larval Survival Rate,
29,Larval Predation Pressure,Fish Population Metrics,Fish Recruitment Rates,Larval Survival Rate,Larval Predation Pressure
30,Larval Food Availability,Fish Population Metrics,Fish Recruitment Rates,Larval Survival Rate,Larval Food Availability
31,Larval Habitat Stability,Fish Population Metrics,Fish Recruitment Rates,Larval Survival Rate,Larval Habitat Stability
32,Egg Hatching Success,Fish Population Metrics,Fish Recruitment Rates,Egg Hatching Success,
33,Thermal Conditions in Spawning Areas,Fish Population Metrics,Fish Recruitment Rates,Egg Hatching Success,Thermal Conditions in Spawning Areas
34,Hydrodynamic Stability of Spawning Grounds,Fish Population Metrics,Fish Recruitment Rates,Egg Hatching Success,Hydrodynamic Stability of Spawning Grounds
35,Sediment Deposition on Egg Beds,Fish Population Metrics,Fish Recruitment Rates,Egg Hatching Success,Sediment Deposition on Egg Beds
36,Juvenile Growth Rate,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,
37,Feeding Efficiency,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,Feeding Efficiency
38,Metabolic Rate,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,Metabolic Rate
39,Habitat Accessibility,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,Habitat Accessibility
40,Predation Pressure,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,Predation Pressure
41,Nutrient Availability,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,Nutrient Availability
42,Genetic Variability,Fish Population Metrics,Fish Recruitment Rates,Juvenile Growth Rate,Genetic Variability
43,Nursery Habitat Availability,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,
44,Seagrass Bed Extent,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,Seagrass Bed Extent
45,Coral Reef Coverage,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,Coral Reef Coverage
46,Kelp Forest Density,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,Kelp Forest Density
47,Mangrove Forest Area,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,Mangrove Forest Area
48,Salt Marsh Size,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,Salt Marsh Size
49,Estuarine Zone Area,Fish Population Metrics,Fish Recruitment Rates,Nursery Habitat Availability,Estuarine Zone Area
50,Environmental Suitability for Early Life Stages,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,
51,Water Temperature Variability,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,Water Temperature Variability
52,Oxygen Level Stability,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,Oxygen Level Stability
53,Salinity Balance,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,Salinity Balance
54,Predation Pressure on Larvae,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,Predation Pressure on Larvae
55,Habitat Complexity,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,Habitat Complexity
56,Food Availability for Larvae,Fish Population Metrics,Fish Recruitment Rates,Environmental Suitability for Early Life Stages,Food Availability for Larvae
57,Fish Age Structure,Fish Population Metrics,Fish Age Structure,,
58,Proportion of Juvenile Fish,Fish Population Metrics,Fish Age Structure,Proportion of Juvenile Fish,
59,Juvenile Fish Growth Rate,Fish Population Metrics,Fish Age Structure,Proportion of Juvenile Fish,Juvenile Fish Growth Rate
60,Juvenile Fish Habitat Availability,Fish Population Metrics,Fish Age Structure,Proportion of Juvenile Fish,Juvenile Fish Habitat Availability
61,Proportion of Mature Fish,Fish Population Metrics,Fish Age Structure,Proportion of Mature Fish,
62,Size Distribution of Mature Fish,Fish Population Metrics,Fish Age Structure,Proportion of Mature Fish,Size Distribution of Mature Fish
63,Reproductive Output of Mature Fish,Fish Population Metrics,Fish Age Structure,Proportion of Mature Fish,Reproductive Output of Mature Fish
64,Growth Rates of Mature Fish,Fish Population Metrics,Fish Age Structure,Proportion of Mature Fish,Growth Rates of Mature Fish
65,Health and Condition of Mature Fish,Fish Population Metrics,Fish Age Structure,Proportion of Mature Fish,Health and Condition of Mature Fish
66,Mortality Rates of Mature Fish,Fish Population Metrics,Fish Age Structure,Proportion of Mature Fish,Mortality Rates of Mature Fish
67,Age-Class Distribution Diversity,Fish Population Metrics,Fish Age Structure,Age-Class Distribution Diversity,
