,topic,category 0,category 1,category 2,category 3
0,Political Indicators,Political Indicators,,,
1,Voter Turnout,Political Indicators,Voter Turnout,,
2,Voter Registration Rates,Political Indicators,Voter Turnout,Voter Registration Rates,
3,Youth Voter Registration,Political Indicators,Voter Turnout,Voter Registration Rates,Youth Voter Registration
4,Rural Voter Registration,Political Indicators,Voter Turnout,Voter Registration Rates,Rural Voter Registration
5,Election Day Accessibility,Political Indicators,Voter Turnout,Election Day Accessibility,
6,Polling Station Proximity,Political Indicators,Voter Turnout,Election Day Accessibility,Polling Station Proximity
7,Availability of Transportation to Polling Stations,Political Indicators,Voter Turnout,Election Day Accessibility,Availability of Transportation to Polling Stations
8,Language Assistance at Polling Stations,Political Indicators,Voter Turnout,Election Day Accessibility,Language Assistance at Polling Stations
9,Disability Access Provisions,Political Indicators,Voter Turnout,Election Day Accessibility,Disability Access Provisions
10,Election Day Public Holidays,Political Indicators,Voter Turnout,Election Day Accessibility,Election Day Public Holidays
11,Voter Assistance Services,Political Indicators,Voter Turnout,Election Day Accessibility,Voter Assistance Services
12,Polling Station Operating Hours,Political Indicators,Voter Turnout,Election Day Accessibility,Polling Station Operating Hours
13,Civic Education Programs,Political Indicators,Voter Turnout,Civic Education Programs,
14,Curriculum Inclusion in Schools,Political Indicators,Voter Turnout,Civic Education Programs,Curriculum Inclusion in Schools
15,Participation in Workshops and Seminars,Political Indicators,Voter Turnout,Civic Education Programs,Participation in Workshops and Seminars
16,Community Outreach Initiatives,Political Indicators,Voter Turnout,Civic Education Programs,Community Outreach Initiatives
17,Youth Engagement Programs,Political Indicators,Voter Turnout,Civic Education Programs,Youth Engagement Programs
18,Partnerships with Local Organizations,Political Indicators,Voter Turnout,Civic Education Programs,Partnerships with Local Organizations
19,Public Awareness Campaigns,Political Indicators,Voter Turnout,Civic Education Programs,Public Awareness Campaigns
20,Teacher Training in Civic Education,Political Indicators,Voter Turnout,Civic Education Programs,Teacher Training in Civic Education
21,Use of Digital Tools for Civic Learning,Political Indicators,Voter Turnout,Civic Education Programs,Use of Digital Tools for Civic Learning
22,Campaign Engagement,Political Indicators,Voter Turnout,Campaign Engagement,
23,Rally Attendance,Political Indicators,Voter Turnout,Campaign Engagement,Rally Attendance
24,Volunteer Participation,Political Indicators,Voter Turnout,Campaign Engagement,Volunteer Participation
25,Social Media Interactions,Political Indicators,Voter Turnout,Campaign Engagement,Social Media Interactions
26,Campaign Merchandise Distribution,Political Indicators,Voter Turnout,Campaign Engagement,Campaign Merchandise Distribution
27,Public Opinion Poll Ratings,Political Indicators,Voter Turnout,Campaign Engagement,Public Opinion Poll Ratings
28,Trust in Electoral Process,Political Indicators,Voter Turnout,Trust in Electoral Process,
29,Electoral Transparency Levels,Political Indicators,Voter Turnout,Trust in Electoral Process,Electoral Transparency Levels
30,Incidence of Electoral Fraud Allegations,Political Indicators,Voter Turnout,Trust in Electoral Process,Incidence of Electoral Fraud Allegations
31,Effectiveness of Election Monitoring Bodies,Political Indicators,Voter Turnout,Trust in Electoral Process,Effectiveness of Election Monitoring Bodies
32,Public Confidence in Election Results Validity,Political Indicators,Voter Turnout,Trust in Electoral Process,Public Confidence in Election Results Validity
33,Integrity of Electoral Roll Maintenance,Political Indicators,Voter Turnout,Trust in Electoral Process,Integrity of Electoral Roll Maintenance
34,Political Party Representation,Political Indicators,Political Party Representation,,
35,Seats Held by Each Political Party,Political Indicators,Political Party Representation,Seats Held by Each Political Party,
36,Number of Seats Held by Major Political Parties,Political Indicators,Political Party Representation,Seats Held by Each Political Party,Number of Seats Held by Major Political Parties
37,Number of Seats Allocated to Minority Political Parties,Political Indicators,Political Party Representation,Seats Held by Each Political Party,Number of Seats Allocated to Minority Political Parties
38,Seats Held by Newly Established Political Parties,Political Indicators,Political Party Representation,Seats Held by Each Political Party,Seats Held by Newly Established Political Parties
39,Seats Designated for Electoral Districts,Political Indicators,Political Party Representation,Seats Held by Each Political Party,Seats Designated for Electoral Districts
40,Reserved Seats for Special Interest Groups,Political Indicators,Political Party Representation,Seats Held by Each Political Party,Reserved Seats for Special Interest Groups
41,Diversity of Political Party Representation,Political Indicators,Political Party Representation,Diversity of Political Party Representation,
42,Ethnic Diversity Among Party Representatives,Political Indicators,Political Party Representation,Diversity of Political Party Representation,Ethnic Diversity Among Party Representatives
43,Representation of Women in Political Parties,Political Indicators,Political Party Representation,Diversity of Political Party Representation,Representation of Women in Political Parties
44,Age Range of Elected Officials in Political Parties,Political Indicators,Political Party Representation,Diversity of Political Party Representation,Age Range of Elected Officials in Political Parties
45,Education Background of Party Leaders,Political Indicators,Political Party Representation,Diversity of Political Party Representation,Education Background of Party Leaders
46,Religious Representation in Political Party Leadership,Political Indicators,Political Party Representation,Diversity of Political Party Representation,Religious Representation in Political Party Leadership
47,Presence and Influence of Regional Parties,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,
48,Number of Regional Party Offices in West Java,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Number of Regional Party Offices in West Java
49,Membership Size of Each Regional Party in West Java,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Membership Size of Each Regional Party in West Java
50,Frequency of Regional Party Events and Rallies,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Frequency of Regional Party Events and Rallies
51,Media Coverage of Regional Parties,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Media Coverage of Regional Parties
52,Influence on Local Policy Decisions,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Influence on Local Policy Decisions
53,Public Support for Regional Party Policies,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Public Support for Regional Party Policies
54,Presence of Regional Party Symbols and Branding in Public Areas,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Presence of Regional Party Symbols and Branding in Public Areas
55,Participation of Regional Parties in Local Elections,Political Indicators,Political Party Representation,Presence and Influence of Regional Parties,Participation of Regional Parties in Local Elections
56,Changes in Party Leadership within Representation,Political Indicators,Political Party Representation,Changes in Party Leadership within Representation,
57,Turnover Rate of Political Leaders,Political Indicators,Political Party Representation,Changes in Party Leadership within Representation,Turnover Rate of Political Leaders
58,Duration of Leadership Tenure,Political Indicators,Political Party Representation,Changes in Party Leadership within Representation,Duration of Leadership Tenure
59,Frequency of Leadership Elections,Political Indicators,Political Party Representation,Changes in Party Leadership within Representation,Frequency of Leadership Elections
60,Level of Collaboration Between Parties,Political Indicators,Political Party Representation,Level of Collaboration Between Parties,
